광역시코드,총세대수,전용면적,세대수,임대보증금,월임대료
41,341,49.89,40,19778000,199500
41,341,49.33,301,19556000,198970
41,556,51.93,98,27690000,230250
41,556,46.9,147,22330000,185870
41,556,39.72,194,15985000,133100
41,556,39.48,117,15806000,131910
41,323,51.93,108,27690000,230250
41,323,46.9,66,22330000,185870
41,323,39.72,119,15985000,133100
41,323,39.48,30,15806000,131910
41,506,46.9,57,22330000,185870
41,506,39.72,112,15985000,133100
41,506,39.48,57,15806000,131910
41,506,36.65,280,13671000,113910
41,438,51.93,148,27690000,230250
41,438,46.9,141,22330000,185870
41,438,39.72,50,15985000,133100
41,438,39.48,99,15806000,131910
41,539,46.9,78,22330000,185870
41,539,39.72,115,15985000,133100
41,539,39.48,78,15806000,131910
41,539,36.65,268,13671000,113910
41,591,46.9,156,22330000,185870
41,591,39.72,102,15985000,133100
41,591,39.48,69,15806000,131910
41,591,36.65,264,13671000,113910
41,234,46.88,64,38806000,263590
41,234,46.82,18,38806000,263590
41,234,36.6,152,17886000,200830
41,847,46.13,114,37210000,259000
41,847,37.01,313,23852000,202000
41,847,26.02,420,12394000,143000
41,1292,46.2,296,39430000,250350
41,1292,37.45,608,25741000,193330
41,1292,26.79,358,13554000,139380
41,1292,26.68,30,13429000,138590
41,528,46.73,194,44229000,269010
41,528,37.58,232,27150000,206080
41,528,26.91,80,14188000,148270
41,528,26.9,22,14183000,148240
41,708,46.67,336,40294000,270360
41,708,37.84,148,26124000,207460
41,708,29.76,148,15157000,159950
41,708,29.08,76,15157000,159950
41,759,46.49,20,20137000,143830
41,759,45.88,280,20137000,143830
41,759,36.74,100,15821000,100660
41,759,36.38,78,15821000,100660
41,759,36.35,94,15821000,100660
41,759,36.34,49,15821000,100660
41,759,36.25,98,15821000,100660
41,759,36.02,40,15821000,100660
41,796,46.49,120,20155000,143950
41,796,45.88,218,20155000,143950
41,796,36.74,30,15836000,100740
41,796,36.38,98,15836000,100740
41,796,36.35,113,15836000,100740
41,796,36.34,59,15836000,100740
41,796,36.25,118,15836000,100740
41,796,36.02,40,15836000,100740
41,882,51.91,138,41572000,262170
41,882,46.97,60,31958000,217210
